lemma,pos,sent1,sent2,start1,end1,start2,end2,tag,position1,position2
become,VERB,"Labor relations have been transformed, income security has become a standardized feature of political platforms, and all the many facets of the American version of the welfare state have become part of the conventional wisdom. ","After the first few weeks, it was obvious that rules had to be made, laid down and obeyed - even if our popularity ratings became subnormal as a result. ",60,66,125,131,T,9,26
become,VERB,"Labor relations have been transformed, income security has become a standardized feature of political platforms, and all the many facets of the American version of the welfare state have become part of the conventional wisdom. ","As a result, life had become a kind of continuous make-ready. ",60,66,23,29,F,9,6
have,VERB,"I could observe the two fans down at the end, but their size in themselves meant nothing to me as long as I had no measure of comparison. ","In other instances where there is no automatic block signaling, the distant has only green and yellow aspects. ",109,112,77,80,T,24,13
have,VERB,"I could observe the two fans down at the end, but their size in themselves meant nothing to me as long as I had no measure of comparison. ","When a man recognizes a certain experience as the exact pattern of a previous dream, we have an instance of deja vu, except for the fact that he knows just why the experience seems familiar. ",109,112,89,93,F,24,17
morale,NOUN,"West Berlin morale is low and, in age distribution, the situation is unfavorable. ","Turnover rates of personnel went up, production dropped, and morale was visibly reduced. ",12,18,63,69,T,2,11
morale,NOUN,"West Berlin morale is low and, in age distribution, the situation is unfavorable. ","Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and, consequently, increased productivity? ",12,18,106,112,F,2,19
make,VERB,"Hard surface cleaning in household application is represented by two classes of alkaline products : ( 1 ) the formulations made expressly for machine dishwashers, and ( 2 ) the general-purpose cleaners used for walls and woodwork. ","A replica of two coaches made in England for the Belmont Club in the East, and matchless west of the Rockies, it was the despair of whips on the Santa Cruz run. ",123,127,25,29,T,20,5
make,VERB,"Hard surface cleaning in household application is represented by two classes of alkaline products : ( 1 ) the formulations made expressly for machine dishwashers, and ( 2 ) the general-purpose cleaners used for walls and woodwork. ","Another, more interesting explanation, is hinted at by Watson when he observes on several occasions that Holmes would have made a magnificent criminal. ",123,127,125,129,F,20,21
result,NOUN,Russ visited two places without result and his blood pressure was down to zero. ,"The important result, however, was that Juet and Francis Clemens, the deposed boatswain, became Hudson 's sworn enemies. ",32,38,14,20,T,5,2
result,NOUN,Russ visited two places without result and his blood pressure was down to zero. ,But is the result new barnsful of tested knowledge on the basis of which we can with confidence solve our domestic and international problems? ,32,38,11,17,F,5,3
measure,VERB,"The surfaces were coarsely and finely granular and punctuated by clear, fluid filled cysts measuring up to 3 cm. in diameter. ","The biggest nuclear device the United States has exploded measured some 15 megatons, although our B-52s are said to be carrying two 20 - megaton bombs apiece. ",92,101,58,66,T,15,9
measure,VERB,"The surfaces were coarsely and finely granular and punctuated by clear, fluid filled cysts measuring up to 3 cm. in diameter. ",The accuracy of measuring the total electrical energy entering an exploding wire during a few microseconds was verified when two independent types of comparison with the heat energy produced had an uncertainty of less than 2 percent. ,92,101,16,25,F,15,3
quality,NOUN,"Dr. Isaacs was so pleased with the quality of her biographical study of Sara Sullam that he considered submitting it to the Century Magazine or Harper 's but he decided that its Jewish subject probably would not interest them and published it in The Messenger, `` so our readers will be benefited instead ''. ","The doctor, with the air of a man whose professional interests have found scope, drew Alex 's attention to those excellences which might otherwise have escaped him : the fine color in comb and wattles, the length and quality of neck and saddle hackles, the firm, wide spread of the toes, and a rare justness in the formation of the ear lappets. ",35,42,220,227,T,7,41
quality,NOUN,"Dr. Isaacs was so pleased with the quality of her biographical study of Sara Sullam that he considered submitting it to the Century Magazine or Harper 's but he decided that its Jewish subject probably would not interest them and published it in The Messenger, `` so our readers will be benefited instead ''. ",That tap had a slight bang ish quality. ,35,42,31,38,F,7,7
output,NOUN,"Finally, information is retrieved from the dictionary as required by stages of the translation process - the grammatic description for sentence-structure determination, equivalent choice information for semantic analysis, and target-language equivalents for output construction. ","Under her father 's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field, but she did begin writing for other Anglo Jewish papers and thus increased her output and her audience. ",261,267,199,205,T,35,36
output,NOUN,"Finally, information is retrieved from the dictionary as required by stages of the translation process - the grammatic description for sentence-structure determination, equivalent choice information for semantic analysis, and target-language equivalents for output construction. ",The mercenaries were little interested in farming and added nothing to the output of the farm plots on which all work was still done with hoes as late as 1818. ,261,267,75,81,F,35,12
set,VERB,"He set Roberts ' suitcase near the front door, went outside and walked back to the garage. ",The legation was generously set back from the building line ; if the angle of fire were too great the jutting buildings on either side would interfere. ,3,6,28,31,T,1,4
set,VERB,"He set Roberts ' suitcase near the front door, went outside and walked back to the garage. ","Thus, in the immemorial way - in the way of the right hand that knows and the left that does not - was the stage set for tragedy at Bari. ",3,6,114,117,F,1,26
publication,NOUN,"But both were high-spirited and vivacious, both had tempers to control, both loved languages, especially English and German, both were good teachers and wrote for publication. ","But to say that at a moment in history something is new is not necessarily to say that it is modern ; and for this statement the best evidence comes within the five years following the publication of Utopia, when Martin Luther elaborates a new perception of the nature of the Divine 's encounter with man. ",167,178,185,196,T,29,36
publication,NOUN,"But both were high-spirited and vivacious, both had tempers to control, both loved languages, especially English and German, both were good teachers and wrote for publication. ","Small Business Administration, What It Is, What It Does, SBA Services for Community Economic Development, and various other useful publications on currently important management, technical production, and marketing topics are available, on request, from Small Business Administration, Washington 25, D.C.. ",167,178,135,147,F,29,23
reach,NOUN,"In my view, there should be a school which offers significant vocational programs for boys within easy reach of every family in a city. ","Probably the most important thing to focus on is not the development of conscience, which may well be almost beyond the reach of literature, but the contents of conscience, the code which is imparted to the developed or immature conscience available. ",104,109,121,126,T,18,22
reach,NOUN,"In my view, there should be a school which offers significant vocational programs for boys within easy reach of every family in a city. ",She can remove all knick-knacks within reach. ,104,109,39,44,F,18,6
fancy,VERB,So don't see yourself as a heroine or fancy this little adventure is an event of major importance ''. ,He liked to fancy himself as a chieftain and to dress for the part. ,39,44,12,17,T,9,3
fancy,VERB,So don't see yourself as a heroine or fancy this little adventure is an event of major importance ''. ,"Vernon, however, held out for plain oyster roast, and plenty of it, unadorned by herbs or any seasoning but salt, though he did fancy a bit of lemon. ",39,44,133,138,F,9,28
need,VERB,"For larger plantings, you 'll need some kind of power for plowing, harrowing, disking, and cultivating. ",He must be capable of designing for and supervising the manufacture of any craft materials needed in the furnishings ''. ,31,35,91,97,T,6,15
need,VERB,"For larger plantings, you 'll need some kind of power for plowing, harrowing, disking, and cultivating. ",A flashlight or electric lantern also should be available for those periods when a brighter light is needed. ,31,35,101,107,F,6,17
use,NOUN,This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system. ,"Two types of light source were used, a thousand watt projection lamp and an AH6 high pressure mercury arc. ",31,35,31,35,T,7,6
use,NOUN,"Three quarters to 1 acre of good land is enough for raising fruits and vegetables for home use, and for a small flock of chickens, a cow, and two pigs. ",There is no use trying to `` Explain '' to a 2 - year old. ,91,94,12,15,F,17,3
economical,ADJ,"conduct, encourage, and promote fundamental scientific research and basic studies to develop the best and most economical processes and methods for converting saline water into water suitable for beneficial consumptive purposes ; ",Which is more economical for your plant - a vacation shutdown or spaced vacations that require extra employees for vacation fill-ins? ,113,123,14,24,T,18,3
economical,ADJ,"conduct, encourage, and promote fundamental scientific research and basic studies to develop the best and most economical processes and methods for converting saline water into water suitable for beneficial consumptive purposes ; ","We are already committed to establishing man 's supremacy over nature and everywhere on earth, not merely in the limited social political economical context we are fond of today. ",113,123,139,149,F,18,23
printing,NOUN,"These areas by virtue of their abrupt density of pattern, stated the literal surface with such new and superior force that the resulting contrast drove the simulated printing into a depth from which it could be rescued - and set to shuttling again - only by conventional perspective ; that is, by being placed in such relation to the forms depicted within the illusion that these forms left no room for the typography except near the surface. ","By its greater corporeal presence and its greater extraneousness, the affixed paper or cloth serves for a seeming moment to push everything else into a more vivid idea of depth than the simulated printing or simulated textures had ever done. ",167,175,197,205,T,28,34
printing,NOUN,"Are you using the most economical printing methods, paper, etc.. ","These areas by virtue of their abrupt density of pattern, stated the literal surface with such new and superior force that the resulting contrast drove the simulated printing into a depth from which it could be rescued - and set to shuttling again - only by conventional perspective ; that is, by being placed in such relation to the forms depicted within the illusion that these forms left no room for the typography except near the surface. ",34,42,167,175,F,6,28
paper,NOUN,"No action of his could be interpreted in his favor and four midshipmen, prior to their knowing the significance of the Greek paper, had seen it in Cromwell 's hands while Spencer whispered explanations. ","Thus when yes, I have is the response to have you finished reading the paper? ",126,131,72,77,T,23,15
paper,NOUN,"No action of his could be interpreted in his favor and four midshipmen, prior to their knowing the significance of the Greek paper, had seen it in Cromwell 's hands while Spencer whispered explanations. ",It 's not too much to assume that you will have a more lasting interest in paper hats than will Mr. Average Citizen. ,126,131,75,80,F,23,16
communication,NOUN,"In addition, the neocortical hypothalamic relations play a great role in primates, as Mirsky 's interesting experiment on the `` communication of affect '' demonstrates. ","Again, I at first misconstrued this disconcertingly intense communication, and I quickly cast through my mind to account for her being able to speak, with such utter conviction, of an opinion held by my father, now several years deceased. ",131,144,61,74,T,22,9
communication,NOUN,"In addition, the neocortical hypothalamic relations play a great role in primates, as Mirsky 's interesting experiment on the `` communication of affect '' demonstrates. ","But fathers often addressed communications to their small children ; and these, full of homely advice, are among the most human and revealing of Civil War letters. ",131,144,28,42,F,22,4
attitude,NOUN,"The attitudes which the Rebs and Yanks took toward each other were very much the same and ranged over the same gamut of feeling, from friendliness to extreme hatred. ","When words can be used in a more fresh and primitive way so that they strike with the force of sights and sounds, when tones of sound and colors of paint and the carven shape all strike the sensibilities with an undeniable force of data in and of themselves, compelling the observer into an attitude of attention, all this imitates the way experience itself in its deepest character strikes upon the door of consciousness and clamors for entrance. ",4,13,293,301,T,1,56
attitude,NOUN,"The attitudes which the Rebs and Yanks took toward each other were very much the same and ranged over the same gamut of feeling, from friendliness to extreme hatred. ","The only performance which was too soft for me was that of Yvette Mimieux, but since someone had to become the victim of despoilers, just to emphasize that such things do happen at these fracases, I suppose this was the attitude the part called for. ",4,13,223,231,F,1,43
encourage,VERB,The philosophy has been that if they could find the time to attend class why not encourage them to get the credit and perhaps provide an incentive to do the work more effectively. ,Are they encouraged to take full legal advantage of these benefits? ,81,90,9,19,T,16,2
encourage,VERB,The philosophy has been that if they could find the time to attend class why not encourage them to get the credit and perhaps provide an incentive to do the work more effectively. ,With multiple member districts the still fragmentary local party organizations could have operated more effectively and parties might have been encouraged to state their positions more clearly. ,81,90,144,154,F,16,20
free,VERB,"We must not forget, to be sure, that free discussion and debate have produced beneficial results. ","Will mere debate on that proposition, even though it be free and untrammeled, remove the dross and leave a residue of refined gold? ",39,43,57,61,T,10,11
free,VERB,Clayton freed himself from the embrace and stepped back. ,The Skopas people seemed to him of that breed of human beings whose insularity frees them from tragedy. ,8,13,79,84,F,1,14
government,NOUN,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments. ,General Motors comprehensively contended that the Government plan would not be `` in the public interest '' as required by the mandate of this Court. ,98,109,50,60,T,14,6
government,NOUN,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments. ,Funds contributed by the Government are repaid by a royalty on production from the property. ,98,109,25,35,F,14,4
work,VERB,"So, I put my Bible to the practical test of noting what it says about itself, and then tested it to see how it worked. ",Too many plant officials are all too eager to buy a package program from an insurance company simply because it works for another plant. ,113,119,112,117,T,26,20
work,VERB,"So, I put my Bible to the practical test of noting what it says about itself, and then tested it to see how it worked. ","And they could n't have entrusted Henri to better hands because `` le professeur '' knows his muscles from the sterno-cleido mastoideus of the neck right down to the tibialis anticus of the leg - and better still, he knows just what exercises work best for them and what Weider principles to combine them with for fast, fast muscle growth. ",113,119,244,248,F,26,44
plant,NOUN,Too many plant officials are all too eager to buy a package program from an insurance company simply because it works for another plant. ,Do you insist that unneeded salary employees take their vacations during plant shutdowns? ,130,135,73,78,T,23,11
plant,NOUN,Too many plant officials are all too eager to buy a package program from an insurance company simply because it works for another plant. ,"Pick the flowers, keep the soil dampened, and each of the pegged-down branches will take root and become a little plant and go on blooming for the rest of the season. ",130,135,116,121,F,23,22
offer,VERB,"When Governor Al Smith offered New York National Guard planes to fly the mail in and out of the state, it seemed a likely temporary solution, easing Burlington 's bottleneck and that at Montpelier too. ","Each meeting starts with a prayer, offered spontaneously by one member of the group. ",23,30,36,43,T,4,7
offer,VERB,"When Governor Al Smith offered New York National Guard planes to fly the mail in and out of the state, it seemed a likely temporary solution, easing Burlington 's bottleneck and that at Montpelier too. ",All expressed interest in world affairs but no one offered to make any sacrifices to satisfy this interest. ,23,30,51,58,F,4,9
improvement,NOUN,"However, first I thoughtfully study my sketch for improvement of color and design along the lines I have described. ","In total, these increases in operating costs outweigh the savings that result from declining programs and from economy measures, such as reduced numbers of units and installations, smaller inventories of major equipment, and improvements in the supply and distribution systems of the Armed Forces. ",51,62,229,241,T,9,37
improvement,NOUN,"However, first I thoughtfully study my sketch for improvement of color and design along the lines I have described. ","If the house is not wired adequately for electricity or if plumbing or a central heating system must be installed, check into the cost of making these improvements. ",51,62,152,164,F,9,28
condition,NOUN,"When improvements are recommended in working conditions - such as lighting, rest rooms, eating facilities, air-conditioning - do you try to set a measure of their effectiveness on productivity? ","Thus in a context in which there has been discussion of snow but mention of local conditions is new, dominant stress will probably be on here in it rarely snows here, but in a context in which there has been discussion of local weather but no mention of snow, dominant stress will probably be on snows. ",45,55,82,92,T,6,16
condition,NOUN,"When improvements are recommended in working conditions - such as lighting, rest rooms, eating facilities, air-conditioning - do you try to set a measure of their effectiveness on productivity? ","And He laid down for him certain conditions : so that, if he kept the command of God, then he would always remain as he was, that is, immortal ; but if he did not, he would become mortal, melting into earth, whence his frame had been taken ''. ",45,55,33,43,F,6,7
lighting,NOUN,"When improvements are recommended in working conditions - such as lighting, rest rooms, eating facilities, air-conditioning - do you try to set a measure of their effectiveness on productivity? ","The book is by Jerome Weidman and George Abbott, music by Jerry Bock, lyrics by Sheldon Harnick, choreography by Peter Gennaro, scenery, costumes and lighting by William and Jean Eckart, musical direction by Jack Elliott, and the production was directed by Mr. Abbott. ",66,74,155,163,T,10,29
lighting,NOUN,"The interior designer, then, must first be an artist but also understand carpentry and painting and lighting and plumbing and finance. ",Lighting is an important consideration. ,102,110,0,8,F,18,0
try,VERB,She thrust forward through the shadows and the trees that resisted her and tried to fling her back. ,"There is no use at all in trying to follow it dance by dance and title by title, for it has a kind of nonstop format, and moves along in an admirable continuity that demands no pauses for identification. ",75,80,26,32,T,13,7
try,VERB,She thrust forward through the shadows and the trees that resisted her and tried to fling her back. ,They learn to like these so well that it is n't surprising to hear that one boy tried the oats he was feeding his horse at chore time. ,75,80,80,85,F,13,17
union,NOUN,From this presumption it is an easy step to the conclusion that any observed increases in the basic wage rate must be due to union behavior different and more aggressive than assumed in our model. ,They 're asking for union trouble. ,125,130,20,25,T,24,4
union,NOUN,From this presumption it is an easy step to the conclusion that any observed increases in the basic wage rate must be due to union behavior different and more aggressive than assumed in our model. ,There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right ''. ,125,130,41,46,F,24,7
choice,NOUN,These are like the initial ways in which the world forces itself upon the self and thrusts the self into decision and choice. ,"The fact seems to be that very many large branch stores are uneconomical, that the choice of location in the suburbs is as important as it was downtown, and that even highly suburbanized cities will support only so many big branches. ",118,124,84,90,T,22,16
choice,NOUN,These are like the initial ways in which the world forces itself upon the self and thrusts the self into decision and choice. ,"Having no choice, he plunged into it, anyway, holding onto the microphone for support. ",118,124,10,16,F,22,2
cent,NOUN,"New Product Introduction for Small Business Owners, 30 cents ; Developing and Selling New Products, 45 cents ; U.S. Government Purchasing, Specifications, and Sales Directory, 60 cents, are available from the Superintendent of Documents, U.S. Government Printing Office, Washington 25, D.C.. ","In Chicago, some time ago, Mr. H., age 27, a diabetic since he was six, stopped using insulin because he had bought a `` magic spike '' - a glass tube about the size of a pencil filled with barium chloride worth a small fraction of a cent - sold by the Vrilium Company of Chicago for $ 306 as a cure-all. ",184,189,239,243,T,31,52
cent,NOUN,"New Product Introduction for Small Business Owners, 30 cents ; Developing and Selling New Products, 45 cents ; U.S. Government Purchasing, Specifications, and Sales Directory, 60 cents, are available from the Superintendent of Documents, U.S. Government Printing Office, Washington 25, D.C.. ","I raised some kale by hocking the good clothes I had left over from my respectable uptown life, but when that was gone I did n't have a cent. ",184,189,137,141,F,31,29
cost,NOUN,"In fact, over the years, the American farmer 's capacity to over-produce has cost the taxpayers a large dollar. ","They opposed the Forand bill, which would have placed the major burden of financial support upon the individual himself through compulsory payroll deduction ; yet they supported the Eisenhower administration which will cost a small state like ours approximately five million dollars ( matched incidentally by a federal grant ) to initiate. ",79,83,220,224,T,15,33
cost,NOUN,When did you last compare your present premium costs with the costs of insurance from other sources? ,"On one of his 1921 ventures he was actually come upon by a Detective Sergeant John J. Ryan down on his knees with a tool embedded in a labour office safe in the Postal Telegraph Building ; the jury wanted better evidence than that and he was acquitted, at a cost of $ 30000 in bribes, it was estimated. ",47,52,259,263,F,8,51
consider,VERB,Some persons consider the work on a farm recreational. ,"In 1825, the Boston house carpenters ' strike for a ten-hour day was denounced by the organized employers, who declared : `` It is considered that all combinations by any classes of citizens intended to effect the value of labor tend to convert all its branches into monopolies ''. ",13,21,133,143,T,2,26
consider,VERB,Some persons consider the work on a farm recreational. ,"`` If I thought you were serious about going back to school, that you 'd learned something from your experiences here and at Hanover - well, I might consider such an offer. ",13,21,151,159,F,2,30
restrict,VERB,"One species is restricted to statements which are neither explicit nor precise regarding a particular person, place, time or thing. ",Restrict large glass areas to the north and south sides of the house. ,15,25,0,8,T,3,0
restrict,VERB,"One species is restricted to statements which are neither explicit nor precise regarding a particular person, place, time or thing. ","Swadesh, and therefore Hoijer, felt compelled to omit all terms denoting species or even genera ( fox, vulture, salmon, yellow pine, manzanita ) ; their classes of animal and plant terms are restricted to generalizations or recurrent parts ( fish, bird, tree, grass, horn, tail, bark, root ). ",15,25,197,207,F,3,38
pay,VERB,"The East was popularly supposed to have got the country into war and into depression, dragging the west along ; and now the East was creating government agencies for which the West doubtless would have to pay. ",The U. S. Government pays for all its overseas workers ''. ,206,209,21,25,T,37,4
pay,VERB,"The East was popularly supposed to have got the country into war and into depression, dragging the west along ; and now the East was creating government agencies for which the West doubtless would have to pay. ","Thus shielded, we played many foolish games in comfortable unselfconsciousness ; even when the fences became a part of the game - when a vine embowered gate-post was the Sleeping Beauty 's enchanted castle, or when Rapunzel let down her golden hair from beneath the crocketed spire, even then we paid little heed to those who went by on the path outside. ",206,209,299,303,F,37,53
do,VERB,"`` You can n't do this to us '', Diane screamed. ","But Speaker Sam Rayburn, after huddling in Palm Beach with President-elect Kennedy, decided that this year something had to be done about the Rules Committee - and that he was the only man who could do anything effective. ",15,17,201,203,T,4,37
do,VERB,"`` You can n't do this to us '', Diane screamed. ",`` What are you going to do with your feet so you don't waste anything ''? ,15,17,25,27,F,4,6
contract,VERB,"There are authorized to be appropriated such sums, to remain available until expended, as may be necessary, but not more than $ 75000000 in all, ( a ) to carry out the provisions of this Act during the fiscal years 1962 to 1967, inclusive ; ( b ) to finance, for not more than two years beyond the end of said period, such grants, contracts, cooperative agreements, and studies as may theretofore have been undertaken pursuant to this Act ; and ( c ) to finance, for not more than three years beyond the end of said period, such activities as are required to correlate, coordinate, and round out the results of studies and research undertaken pursuant to this Act : Provided, That funds available in any one year for research and development may, subject to the approval of the Secretary of State to assure that such activities are consistent with the foreign policy objectives of the United States, be expended in cooperation with public or private agencies in foreign countries in the development of processes useful to the program in the United States : And provided further, That every such contract or agreement made with any public or private agency in a foreign country shall contain provisions effective to insure that the results or information developed in connection therewith shall be available without cost to the United States for the use of the United States throughout the world and for the use of the general public within the United States. ",It is not surprising that the international obligations of states were also viewed in terms of contract. ,1113,1121,95,103,T,209,16
contract,VERB,Hemphill said the Hughes concern contracted to do the repairs at a cost of $ 500 for each joint. ,It contracts with outside repair garages for much of the latter work. ,33,43,3,12,F,5,1
sign,VERB,"The paradox implicit in the whole affair is shown by the demand of the government, after the conviction, that General Electric sign a wide-open consent decree that it would not reduce prices so low as to compete seriously with its fellows. ",It would be at once the most tentative and most final treaty that Earth had ever signed. ,129,133,81,87,T,23,16
sign,VERB,"The paradox implicit in the whole affair is shown by the demand of the government, after the conviction, that General Electric sign a wide-open consent decree that it would not reduce prices so low as to compete seriously with its fellows. ",The letter writer who suggested saving money by taking kids out of school at 14 should have signed his letter `` Simpleton '' instead of `` Simplicitude ''. ,129,133,92,98,F,23,17
group,NOUN,Krakow Boulevard was filled with black Nazi uniforms and the dirty brownish ones of their Auxiliaries. ,The grand jury took a swipe at the State Welfare Department 's handling of federal funds granted for child welfare services in foster homes. ,90,101,35,59,T,15,10
group,NOUN,Krakow Boulevard was filled with black Nazi uniforms and the dirty brownish ones of their Auxiliaries. ,"( 3 ) For anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups ( the ionized ends ) face outward towards the aqueous continuous phase. ",90,101,142,148,F,15,25
insurance,NOUN,He said that he had already told the police chief that he did n't know what insurance man had recommended Johnston to Mrs. Meeker. ,"Take into account the difference in city and county taxes, insurance rates, utility rates, and the cost of travel to work. ",76,85,60,69,T,16,11
insurance,NOUN,He said that he had already told the police chief that he did n't know what insurance man had recommended Johnston to Mrs. Meeker. ,Do n't go overboard on insurance that pays benefits only upon death. ,76,85,23,32,F,16,5
entitle,VERB,Do your employees understand all the benefits to which your insurance entitles them? ,"Even if we were not bound by Nugent, petitioner here would not be entitled to the report. ",70,78,67,75,T,11,14
entitle,VERB,Do your employees understand all the benefits to which your insurance entitles them? ,"Chapter 8, is entitled `` On Magnetism '' and in it are included such remarks as, `` One has always been tempted to compare the magnetic forces with the electrical forces. ",70,78,15,23,F,11,4
legal,ADJ,"When we `` forced '' individuals to assume the corporate structure by means of taxes and other legal statutes, we adopted what I would term `` pseudo capitalism '' and so took a major step toward socialism. ","Indeed, contract was the dominant legal theme of the century, the touchstone of the free society. ",95,100,35,40,T,17,6
legal,ADJ,"When we `` forced '' individuals to assume the corporate structure by means of taxes and other legal statutes, we adopted what I would term `` pseudo capitalism '' and so took a major step toward socialism. ",The Utopians brace conscience with legal sanctions. ,95,100,35,40,F,17,5
value,NOUN,"Although the standard deviation values on which spread of the lines are based are relatively larger for those centers which begin to ossify early ( Table 1 ), there are considerable differences in this value between centers having the closely timed Onsets. ","At the top of Figure 5, for example, the Onset range and Completion range lines for the chosen growth center have been drawn for girls according to their mean and standard deviation values in Table 1. ",32,38,184,190,T,4,34
value,NOUN,"Although the standard deviation values on which spread of the lines are based are relatively larger for those centers which begin to ossify early ( Table 1 ), there are considerable differences in this value between centers having the closely timed Onsets. ","First I make preliminary watercolor sketches in quarter scale ( approximately * * f inches ) in which I pay particular attention to the design principles of three simple values - the lightest light, the middle tone, and the darkest dark - by reducing the forms of my subject to these large patterns. ",32,38,170,176,F,4,29
company,NOUN,"Companies of all types have made great advances in production capabilities and efficiencies - in modern equipment and new processes, enlarged R + D facilities, faster new product development. ","Word reached the company that the man behind these depredations was Manuel Gonzales, a man with many followers, including a number who were kept in line through fear of him. ",0,9,17,24,T,0,3
company,NOUN,"Companies of all types have made great advances in production capabilities and efficiencies - in modern equipment and new processes, enlarged R + D facilities, faster new product development. ","`` Chickens have short memories '', the doctor remarked, `` that 's why they are better company than most people I know '', and he went on to break some important news to Alex. ",0,9,90,97,F,0,18
share,VERB,The trees are their homes ; but the Commission does not share such sentiments. ,The courts shared the opinion of the employers. ,56,61,11,17,T,11,2
share,VERB,The trees are their homes ; but the Commission does not share such sentiments. ,"The board will be able to increase, decrease, add or eliminate budget items, subject to the Mayor 's veto ; but the City Council will now share fully this budget-altering power. ",56,61,141,146,F,11,29
compare,VERB,"My double was made with standard-weight revolver barrels ( before cutting to revolver length ), and although it compares well in other respects, it 's considerably heavier than the Deerstalker, which only scales about 6 - 1 2 pounds. ","The Fisher Body division, long controlled by the Fisher brothers under a voting trust even though General Motors owned a majority of its stock, followed an independent course for many years, but by 1947 and 1948 `` resistance had collapsed '' and its purchases from du Pont `` compared favorably '' with purchases by other General Motors divisions. ",113,121,280,288,T,19,51
compare,VERB,"My double was made with standard-weight revolver barrels ( before cutting to revolver length ), and although it compares well in other respects, it 's considerably heavier than the Deerstalker, which only scales about 6 - 1 2 pounds. ","The radio radiation of the sun which is reflected from the moon and planets should be negligible compared with their thermal emission at centimeter wave lengths, except possibly at times of exceptional outbursts of solar radio noise. ",113,121,97,105,F,19,17
present,VERB,"The Sequoia Grove presents another unique aspect of Yosemite, for these ancient giant trees are a sight never to be forgotten. ","No previous antitrust case, he said, had involved interests of such magnitude or presented such complex problems of relief. ",18,26,83,92,T,3,15
present,VERB,"The Sequoia Grove presents another unique aspect of Yosemite, for these ancient giant trees are a sight never to be forgotten. ",The article presents the reader with an absurdity at its beginning. ,18,26,12,20,F,3,2
